Country,MAPE,Density,Active,forecast,category,LR_MAPE,SV_MAPE
1035,23.622805,1.095947,106,"[1.27446294 1.40168488 1.4664849  1.39194572 1.3797245  1.43210089
 1.48503208 1.3514744 ]",SV,17.266869,6.9646506
1037,7.1273537,0.82838911,74,"[0.70595896 0.70367837 0.70472574 0.70479524 0.71696925 0.72184551
 0.72073996 0.73334479]",LR,5.2499456,8.888418
1039,1.7433189,1.6845804,489,"[1.67625856 1.68132198 1.6882875  1.69614708 1.69986403 1.70325124
 1.71028125 1.71586645]",SV,2.6153555,1.4507134
1041,10.262156,1.0612549,114,"[0.9872607  0.98994994 0.99020994 0.98788017 0.99362177 0.98921043
 0.98864949 0.99268252]",SV,7.231909,7.169795
1043,2.6323743,2.6872737,1737,"[2.56516457 2.56876016 2.57023239 2.57275271 2.57868242 2.57594299
 2.58455205 2.59375429]",LR,1.9152578,2.2625372
1045,3.4758854,1.7595617,668,"[1.68728065 1.68176353 1.68125033 1.68198764 1.68439758 1.6934526
 1.68821478 1.69922662]",LR,1.5657226,2.3597467
1047,3.9287508,1.4739386,427,"[1.38399124 1.39361918 1.3990134  1.40700126 1.40988934 1.40768683
 1.40882111 1.42755747]",LR,0.8766552,2.2540064
1049,2.0229108,2.2713821,1228,"[2.31029367 2.31152821 2.31660986 2.32396603 2.32647276 2.33102846
 2.33554506 2.33192492]",SV,2.821794,1.9274391
1051,8.2089,3.2452056,2056,"[2.9686234  2.96866846 3.00503826 3.02012038 3.05263829 3.06753898
 3.13377547 3.2786274 ]",SV,1.6835623,1.5967928
1053,8.391535,1.948416,556,"[1.69309783 1.69823182 1.70736492 1.70913959 1.71937728 1.71766937
 1.72076142 1.72523284]",SV,6.7688866,6.7521734
1055,6.2464366,2.7364635,2206,"[2.41998625 2.42218542 2.42702031 2.43570876 2.43796921 2.45280623
 2.4539113  2.46255922]",tf_dense,7.007106,7.661909
1057,8.340091,1.0514109,136,"[1.43442619 1.17023253 1.11507392 1.05552733 1.0520649  1.04561937
 1.04291427 1.05068064]",SV,8.167392,1.1999221
1059,9.333858,1.9323264,458,"[1.75311089 1.75672352 1.76702726 1.79273689 1.79643953 1.83895183
 1.84948146 1.86749363]",LR,3.892168,5.1814036
1061,1.4902871,1.4523023,299,"[1.38320935 1.38492918 1.3930186  1.40010118 1.40965915 1.41522336
 1.41929328 1.42796373]",tf_dense,1.5553282,2.6404078
1063,8.013791,1.4407436,93,"[1.24325907 1.2389667  1.24746549 1.25761962 1.25961208 1.26594329
 1.27588296 1.29062676]",SV,4.694699,4.4206805
1065,3.779508,1.1825964,134,"[1.05912817 1.073789   1.09064639 1.0952282  1.09783959 1.10635853
 1.10976052 1.11191392]",SV,4.211171,1.7455376
1067,2.1399949,2.4543042,333,"[2.49390531 2.47989631 2.47221899 2.4423933  2.4283967  2.42218041
 2.4024148  2.37993264]",SV,2.227086,1.0504736
1069,1.3476565,3.4243109,2774,"[3.38743854 3.38984942 3.38587618 3.38004971 3.37744713 3.37079597
 3.37092447 3.36822057]",SV,1.0798212,1.0419337
1071,2.3418787,1.7799511,728,"[1.72615099 1.73749125 1.7502656  1.81875694 1.83206284 1.84138143
 1.84821129 1.85794079]",SV,1.1752685,0.7687148
1073,1.6518133,6.5080609,33078,"[6.31614971 6.32566309 6.33061075 6.32746458 6.34752846 6.33320141
 6.35050297 6.3479991 ]",LR,0.99598354,1.3418263
1075,3.3863976,0.93406087,101,"[0.87379897 0.87989616 0.87618971 0.87936997 0.88154942 0.8882184
 0.88390321 0.89326322]",tf_dense,3.520296,4.7666454
1077,1.048487,4.0402412,3012,"[4.19857216 4.19443989 4.17895794 4.16915417 4.16011477 4.15285921
 4.14433479 4.13932419]",LR,0.8023969,1.0718118
1079,1.478522,1.3549086,350,"[1.33389187 1.33656371 1.34235764 1.35514641 1.35804498 1.36993635
 1.37569642 1.38511431]",SV,1.2666624,0.71492904
1081,3.5253599,4.0300627,5196,"[3.81543231 3.81751132 3.82336879 3.81652498 3.82479382 3.8107841
 3.82031703 3.81588721]",SV,2.799062,2.4020975
1083,0.80706656,2.9556651,2220,"[2.93996882 2.94807553 2.95047474 2.95132804 2.96706963 2.96174502
 2.96221161 2.96412945]",tf_dense,0.8390256,0.9612881
1085,2.2848222,1.4121,109,"[1.34728825 1.39209974 1.40958798 1.40260637 1.39871609 1.41885126
 1.39569163 1.40691483]",SV,5.0715933,1.6583128
1087,6.0201573,1.8822141,287,"[1.74455786 1.74999392 1.74852371 1.75149763 1.74900913 1.74704909
 1.745152   1.74729204]",SV,3.062282,3.0286875
1089,0.9327816,6.5793228,18907,"[6.45476246 6.47875404 6.48437595 6.47849131 6.48822784 6.48212147
 6.47712326 6.48497629]",LR,0.77071667,0.95993143
1091,2.4147916,1.3613777,200,"[1.32387936 1.31879508 1.31506038 1.31208515 1.30869615 1.30522418
 1.30408239 1.3039757 ]",SV,2.1597872,1.1256787
1093,0.48916173,1.6310794,385,"[1.60457146 1.609061   1.61663413 1.61793375 1.62021136 1.63188589
 1.63254702 1.63558722]",tf_dense,3.130395,0.93960327
1095,4.060622,2.7775466,2003,"[2.59007072 2.59660339 2.60060358 2.59941053 2.60123277 2.60007119
 2.6020999  2.60401773]",SV,2.8655407,2.8011634
1097,1.5335376,4.1089792,13017,"[3.90897822 3.91602731 3.92749286 3.93087626 3.94701219 3.95913124
 3.97827268 3.99174333]",tf_dense,2.561259,2.7442546
1099,3.2619014,1.0884768,179,"[1.03281093 1.03175044 1.02738011 1.02901065 1.02534699 1.02538145
 1.02680874 1.0256207 ]",LR,2.1900556,3.1742125
1101,0.6948673,4.7827415,8285,"[4.75271463 4.76872969 4.77324486 4.76270056 4.77479076 4.75692511
 4.75671291 4.75735712]",LR,0.47046876,0.57634485
1103,5.820904,3.0141246,2772,"[3.05303025 3.06646299 3.07106018 3.09113193 3.13617873 3.1491127
 3.15937281 3.17344522]",SV,4.9120145,2.8290343
1105,10.302596,0.64111501,46,"[0.79489899 0.79736042 0.79745811 0.80522013 0.7999748  0.80845809
 0.806539   0.81098723]",SV,17.514217,9.1418295
1107,1.8479533,0.7700907,124,"[0.7371794  0.7381826  0.73548692 0.74085534 0.73955667 0.74889779
 0.74676156 0.75300896]",LR,0.95491695,2.724604
1109,2.4969556,1.9785838,534,"[1.88306284 1.88962841 1.89336598 1.89856613 1.90462971 1.89925826
 1.90299273 1.90998161]",LR,2.137499,2.5232725
1111,43.718002,5.3465791,958,"[2.31309605 2.63579226 2.73670983 2.7595799  2.77553415 2.80246878
 2.82548571 3.10289812]",LR,3.8035593,9.492798
1113,4.294221,2.5342948,1114,"[2.33054376 2.32775092 2.33775902 2.34103537 2.3460567  2.3457706
 2.34323859 2.34626436]",LR,4.253868,4.8010826
1115,3.7177484,2.9912791,2058,"[2.83880806 2.83530045 2.82887244 2.82302094 2.82829785 2.8215344
 2.82522607 2.82562137]",SV,3.2742321,2.774642
1117,5.224835,7.504106,12428,"[7.0353961  7.01669264 6.99099064 6.94156885 6.96175671 6.92026186
 6.91849327 6.91295385]",SV,3.7193344,2.6826096
1119,2.1907854,1.0226156,104,"[0.98622435 0.98675478 0.98996896 0.99962366 0.9892453  1.00328588
 0.99292308 0.99347997]",tf_dense,7.4506493,8.135526
1121,0.95417285,1.7200766,1088,"[1.68577218 1.69233179 1.69265664 1.69462168 1.69866514 1.70483947
 1.70728326 1.71121824]",tf_dense,2.322577,2.8345733
1123,8.824977,3.9135587,1255,"[3.28020167 3.30452681 3.27668977 3.28965831 3.2773869  3.26890492
 3.27304959 3.28653288]",SV,9.024829,8.683615
1125,38.82513,4.086936,6747,"[5.65533638 5.62736225 5.6115818  5.5971818  5.58767366 5.54603481
 5.49020529 4.13875246]",SV,6.6799545,2.9858344
1127,3.71416,1.6231347,806,"[1.56280053 1.56487918 1.5691123  1.56904423 1.57297969 1.56923485
 1.5765388  1.57769179]",SV,2.2625718,2.2011037
1129,2.0518947,0.94889945,122,"[0.94468123 0.94892669 0.95387489 0.95549315 0.96272445 0.9614777
 0.96014029 0.96202213]",SV,2.2175887,1.639127
1131,5.1758604,1.1442786,92,"[1.17549515 1.17926681 1.17182493 1.17934597 1.14081156 1.12114763
 1.12738061 1.11229968]",LR,3.361418,6.6591406
1133,31.8654,3.5551553,671,"[1.21973646 1.21880496 1.22485673 1.22423172 1.23368239 1.23300314
 1.23607492 1.23497999]",LR,31.447512,31.463428
2013,8.918863,0.88255262,26,"[1.02135813 1.02116561 1.01218987 0.98343068 0.98014402 0.94865841
 0.94485861 0.92788577]",LR,1.8915765,1.9230757
2016,4.5294046,1.2577276,59,"[1.1997273  1.19259596 1.1952455  1.17289937 1.16421437 1.15830994
 1.16060543 1.15782356]",SV,5.0493026,3.3926435
2020,2.93874,6.8323822,15112,"[6.56623125 6.56198454 6.57982445 6.58797073 6.56818676 6.57720709
 6.57626104 6.58014631]",SV,2.0868526,1.7580618
2050,6.8576174,0.85920882,101,"[0.75084567 0.75501037 0.75593364 0.76147997 0.76147246 0.76309657
 0.76473117 0.76923096]",LR,3.551026,5.124181
2060,17.75494,12.080537,72,"[14.27822113 14.37213707 14.17319202 14.31086826 14.38210583 14.45847893
 13.88009739 13.66906071]",LR,2.8869882,5.819419
2068,4.3145204,13.96075,313,"[14.35252953 14.44722557 14.42271996 14.35681629 14.43317699 14.37192535
 14.30542278 14.30299377]",LR,1.8457923,1.9235634
2070,1.2792656,1.7099056,58,"[1.68520749 1.68481195 1.68452597 1.67996919 1.6677289  1.66704726
 1.6688745  1.67269552]",tf_dense,2.3291116,3.764154
2090,6.566993,3.9239032,2933,"[3.83644962 3.83257866 3.73297453 3.59158945 3.61538935 3.56215191
 3.57788706 3.58141351]",SV,4.0482545,1.6154464
2100,7.1852593,5.390995,91,"[5.13640499 5.14278173 5.1323657  5.10199547 5.08850479 5.11706161
 5.12085772 5.11783791]",SV,10.361106,3.343208
2105,1.2517796,4.951561,92,"[4.95443821 4.92679596 4.92944813 4.91868019 4.91628313 4.91921759
 4.91261721 4.90830755]",SV,1.9910249,0.66918164
2110,5.645167,3.9851053,1006,"[3.79317188 3.77787495 3.74579716 3.72162771 3.72892928 3.71589923
 3.71964836 3.70788527]",SV,3.7747629,3.0382237
2122,5.3625016,5.6290445,2566,"[5.63605928 5.58296204 5.6651001  5.62140131 5.6832118  5.68230772
 5.77751732 5.82157135]",tf_dense,9.272988,8.123926
2130,0.6353552,5.8247948,631,"[5.79267836 5.77751684 5.77786827 5.82187366 5.80319071 5.85062313
 5.81881905 5.8343935 ]",tf_dense,1.3897865,0.755508
2150,3.182108,2.7874913,279,"[2.88028431 2.87679267 2.87577152 2.87175775 2.86790252 2.86998343
 2.86608005 2.86483979]",LR,2.0089693,2.310027
2164,35.525543,4.0697675,35,"[2.52598286 2.50260735 2.55384755 2.58303142 2.5806706  2.58379412
 2.61549687 2.65347958]",LR,20.515207,21.339285
2170,0.92308384,5.7733874,4541,"[5.61241817 5.63778639 5.65189075 5.65359068 5.67658329 5.68775702
 5.69926596 5.70807362]",tf_dense,2.7137122,3.0663233
2180,2.2256744,1.6190622,106,"[1.62307322 1.61008739 1.60389924 1.60531449 1.59088385 1.59325981
 1.59430039 1.57694817]",LR,1.142086,1.757928
2185,3.0494452,1.3205631,91,"[1.36768055 1.37354362 1.36896873 1.36244392 1.37321019 1.34231329
 1.34783721 1.34253621]",LR,2.2100985,3.7480369
2188,18.246477,0.46333602,23,"[0.33933738 0.34839648 0.3430728  0.34798843 0.34204933 0.34219819
 0.34382272 0.34596351]",tf_dense,25.648949,18.63113
2195,1.3497075,3.1261494,85,"[3.06702447 3.07704163 3.09765482 3.08548808 3.11957669 3.10681915
 3.1322968  3.14790583]",LR,0.9849282,1.6006645
2198,2.6029382,3.5217035,172,"[3.49100304 3.53880501 3.56301308 3.61899137 3.63680649 3.65309381
 3.67998958 3.68519545]",SV,3.1033165,1.6606729
2220,2.8903174,6.198102,418,"[6.38030386 6.38939905 6.40523481 6.37185001 6.26494789 6.13200808
 6.02446699 5.98755646]",SV,1.7231629,1.0010129
2230,7.3514543,6.4285712,72,"[7.16062307 7.08038616 7.04064894 6.95918655 6.93907928 6.88969707
 6.83506107 6.75146437]",SV,5.462874,3.5780952
2240,4.968639,4.0007882,203,"[3.85646176 3.9221468  3.9775126  4.00763988 4.03831959 4.0884819
 4.12900019 4.13664865]",tf_dense,8.520763,10.181017
2275,5.420903,5.4911838,109,"[4.83302259 4.85581923 4.86314726 4.85873747 4.84871531 4.88279343
 4.86625814 4.88653326]",LR,3.9690197,5.352637
2282,4.4640665,4.5553145,21,"[4.18116236 4.1924696  4.16618872 4.21490574 4.17518139 4.27933836
 4.25695372 4.29809332]",SV,8.9262085,3.1250021
2290,9.739402,2.9265742,112,"[2.45696616 2.4722805  2.47555304 2.48990178 2.50062037 2.52265692
 2.51864338 2.53242278]",LR,9.162554,11.142294
4001,0.85975,4.8952913,2569,"[4.92921352 4.92766142 4.92323112 4.91643667 4.91360998 4.91328144
 4.90321827 4.90830755]",SV,0.5109574,0.33728877
4003,3.3674507,3.6642728,3638,"[3.51277137 3.52088428 3.52188134 3.51731682 3.52338409 3.51869059
 3.51698828 3.51944542]",tf_dense,4.314166,4.215337
4005,3.7557092,6.1070185,6914,"[5.74250174 5.75408936 5.76725245 5.7563014  5.74660778 5.73602486
 5.73123074 5.72821712]",SV,4.749929,3.4546204
4007,1.4263644,4.2471848,1833,"[4.15602636 4.15261364 4.14944601 4.1492238  4.13857126 4.14095736
 4.13764763 4.13542938]",SV,1.0759108,0.85713106
4009,1.3559794,1.95456,548,"[1.98825848 1.98952115 1.98823261 1.98514879 1.99070048 1.98507202
 1.97635043 1.98034501]",tf_dense,2.8508086,1.7131504
4011,1.9616991,1.3226744,91,"[1.31178641 1.31238472 1.31434917 1.31015086 1.30786216 1.30623698
 1.3008033  1.29657197]",tf_dense,2.3190444,2.5960412
4012,1.219511,2.2875261,404,"[2.34222198 2.34109163 2.31973004 2.30126524 2.30176735 2.2888422
 2.28880835 2.27646542]",LR,0.7911333,0.7928083
4013,0.87120503,14.87283,499989,"[14.43704033 14.44142628 14.49179268 14.53556824 14.60130978 14.59271145
 14.67824364 14.74106503]",LR,0.8061372,0.8095192
4015,1.5107614,4.7247872,8268,"[4.62574911 4.63840103 4.63629532 4.6354661  4.63417101 4.63126802
 4.64098835 4.64032793]",tf_dense,1.8234694,1.773298
4017,0.94308144,3.7451751,3037,"[3.73088908 3.73260283 3.73436999 3.74055028 3.73727512 3.74624896
 3.730896   3.73385477]",tf_dense,1.2030548,1.9466313
4019,2.497011,6.68788,54982,"[6.44341183 6.45068502 6.45488024 6.4536171  6.46256018 6.46075201
 6.46277332 6.46631956]",tf_dense,3.0657442,2.8174467
4021,3.628234,4.4964161,15575,"[4.65344191 4.66540623 4.66616964 4.6682024  4.67536116 4.67906761
 4.67989063 4.67513657]",SV,0.9844955,0.61426806
4023,2.1360297,4.4486971,1511,"[4.39638424 4.43718338 4.46227932 4.49422979 4.52059555 4.58753395
 4.57650757 4.63265991]",LR,1.0692647,1.2472593
4025,1.4640747,9.653409,18806,"[9.48703384 9.48718166 9.46764946 9.43675137 9.44649506 9.4103508
 9.42795086 9.41312408]",SV,1.5972601,1.1658049
4027,0.6092259,2.2309802,3538,"[2.21089554 2.216429   2.21984243 2.22330618 2.22702074 2.22746277
 2.23383594 2.22955012]",LR,0.54025924,0.91332746
5001,4.2493343,1.7232567,236,"[1.68172348 1.71377039 1.72855675 1.7896806  1.79543698 1.81259537
 1.80047059 1.81670821]",SV,3.341712,1.1353695
5003,5.0210595,1.0756869,166,"[1.10321975 1.10301089 1.10129499 1.09406078 1.09489286 1.08775949
 1.08426011 1.08042908]",LR,2.3901577,2.822753
5005,2.363111,3.2900281,1132,"[3.35071135 3.35523915 3.37352753 3.37375975 3.36587834 3.38293457
 3.37296128 3.37766218]",SV,2.6941655,0.77533305
5007,4.7288065,6.0781288,12256,"[5.6262269  5.62394428 5.62236452 5.63617325 5.6600399  5.63389826
 5.6881218  5.67556524]",SV,3.362862,3.1427474
5009,3.3913295,3.2066753,930,"[3.08430529 3.08374262 3.09006763 3.0859499  3.09367657 3.08431458
 3.09836078 3.09246016]",SV,2.7944365,2.6258473
5011,9.355707,0.98913175,81,"[1.05977619 1.06731844 1.07083941 1.08700442 1.08316958 1.08551991
 1.08375978 1.08217704]",SV,9.693524,8.824998
5013,10.55337,0.3576538,15,"[0.38073617 0.38020989 0.37586266 0.37641153 0.35619307 0.3586069
 0.35053283 0.3550508 ]",tf_dense,25.13903,14.065935
5015,2.960583,6.2551327,1371,"[6.11544085 6.15427351 6.25154781 6.34524584 6.39851379 6.44500446
 6.48543596 6.54231548]",LR,0.5029925,1.9834559
5017,4.271555,1.217862,99,"[1.1752311  1.18468618 1.19125438 1.20085001 1.20244217 1.21213257
 1.21102178 1.21422911]",SV,3.9321303,2.449603
5019,8.5235815,2.4252803,439,"[2.71241832 2.73406506 2.75576258 2.78137279 2.78770661 2.79968095
 2.80394578 2.81184745]",SV,6.9847574,4.815636
5021,5.200101,0.71836591,83,"[0.67396623 0.67348212 0.67359781 0.67032892 0.67376298 0.67071259
 0.67220616 0.67239261]",SV,8.1739,4.842406
5023,1.3613656,2.7335861,555,"[2.54898429 2.57122254 2.59790897 2.61283016 2.62781668 2.63473916
 2.65081048 2.66844296]",LR,1.1219498,2.2199702
5025,2.9985926,0.76947737,48,"[0.77188039 0.77255684 0.77309275 0.77082163 0.77534825 0.77105558
 0.7718758  0.7702024 ]",SV,3.7985346,2.251227
5027,0.69236857,1.329631,249,"[1.29647577 1.30364084 1.31092763 1.31130481 1.31608903 1.31871617
 1.32011414 1.32569599]",tf_dense,3.0418873,1.586479
5029,2.48767,2.5979662,419,"[2.39650178 2.43111658 2.44353008 2.45603204 2.45801854 2.48118019
 2.5007503  2.47422218]",SV,4.4848976,1.3082676
5031,4.537789,3.7567432,3085,"[4.00456142 4.01785421 4.00157118 4.02504444 4.01130867 4.01507998
 4.02447701 4.00596046]",SV,4.1260557,1.4816298
5033,1.1613635,2.5179403,1200,"[2.43964219 2.44638324 2.45035362 2.45510125 2.46000624 2.47411656
 2.47045851 2.47660351]",tf_dense,2.5369303,3.1236496
5035,3.1547897,1.6020907,564,"[1.61742973 1.60372126 1.59092188 1.56671166 1.55628526 1.54525208
 1.53772855 1.52421176]",SV,2.2271726,1.4093375
5037,4.22496,1.6790749,212,"[1.54858661 1.54806435 1.56108713 1.56089437 1.56373966 1.56618106
 1.56785679 1.57153809]",LR,3.676103,4.261936
5039,7.626307,0.66095036,37,"[0.53897858 0.53909814 0.54405934 0.54994035 0.55422646 0.55465484
 0.55535394 0.56262469]",LR,5.837411,6.9199324
5041,4.1385403,0.75792909,65,"[0.82925326 0.82392311 0.82261515 0.81401724 0.80279046 0.80484068
 0.7974124  0.79140437]",tf_dense,4.9871845,4.371863
5043,4.7657065,0.86767894,124,"[0.77999651 0.78342748 0.7833873  0.77743703 0.78585911 0.77808565
 0.78147584 0.78026283]",tf_dense,6.541534,5.212184
5045,2.0691147,4.1833377,4015,"[4.03780174 4.04215384 4.0400095  4.02918005 4.04356003 4.03401756
 4.03533697 4.0419383 ]",SV,2.1231248,1.5703306
5047,1.0194061,1.2105302,166,"[1.2021234  1.20437992 1.2069186  1.21240497 1.21440232 1.21697712
 1.21999943 1.22100735]",LR,0.8934779,1.3474174
5049,10.359643,2.7492819,268,"[2.25694251 2.28922129 2.30672169 2.32404971 2.35080266 2.35462046
 2.35987234 2.387321  ]",LR,2.8724334,6.351488
5051,3.3898094,4.7176247,3734,"[4.4773612  4.47297573 4.47166634 4.46817541 4.46024036 4.46300268
 4.46088076 4.45364952]",SV,4.483534,2.4581723
5053,5.284841,1.1956137,169,"[1.05984795 1.07086372 1.0787313  1.08567083 1.0877341  1.09391785
 1.09374034 1.1069535 ]",tf_dense,5.5782175,6.678519
5055,3.6833518,2.3327284,797,"[2.44986749 2.42646766 2.37346601 2.36791182 2.36746573 2.35957861
 2.33610106 2.33522344]",SV,53.074944,1.6265177
5057,7.8874817,1.062778,172,"[0.94334424 0.94432801 0.94305313 0.9434641  0.94278914 0.94491321
 0.94484884 0.94797045]",LR,7.76108,7.7838993
5059,1.6933454,1.5779539,418,"[1.54995596 1.55095899 1.5547812  1.55643713 1.56046855 1.56471682
 1.56766057 1.57096517]",tf_dense,2.5615542,2.6142874
5061,5.102981,1.2330582,121,"[1.13245249 1.13102627 1.13465345 1.13297737 1.13097775 1.13412964
 1.13350451 1.13472784]",SV,7.915121,4.6042953
5063,6.3086534,1.8441404,527,"[1.7428236  1.7381742  1.75167823 1.73704386 1.73767364 1.72709894
 1.72988236 1.73998904]",LR,5.962251,6.351027
5065,2.6265614,1.576697,177,"[1.46876621 1.45989406 1.45925832 1.45176029 1.45397961 1.4499588
 1.45367563 1.45191741]",SV,8.287824,2.622249
5067,4.2447047,0.65011823,88,"[0.61979145 0.61840653 0.61323714 0.60607231 0.60251206 0.60217005
 0.60204738 0.59864759]",tf_dense,5.9676943,4.325442
5069,3.6433454,1.4297808,760,"[1.33029771 1.33109522 1.3332597  1.33694696 1.33944595 1.34185576
 1.34133208 1.34345663]",LR,3.0418298,3.6891687
5071,1.9644052,2.1510205,431,"[2.13167906 2.13431883 2.13196778 2.13226128 2.14092422 2.12852693
 2.13622189 2.13855696]",tf_dense,2.2995663,2.1132123
5073,6.936881,0.91759956,50,"[0.81757975 0.80641174 0.80179256 0.80312014 0.79622281 0.80128527
 0.80340379 0.79946291]",tf_dense,11.794079,10.465854
5075,2.5035164,1.2029492,155,"[1.17313814 1.1746248  1.1843394  1.17347777 1.17807424 1.16973782
 1.17270315 1.17070985]",SV,6.3471766,1.6006721
5077,15.343732,0.6141668,45,"[0.75729561 0.75304312 0.75534767 0.75917077 0.75228637 0.75669134
 0.7563554  0.75444031]",SV,20.774834,12.502501
5079,5.7812033,0.37104073,41,"[0.33926463 0.34201577 0.34171849 0.35182917 0.35284653 0.35672927
 0.36106348 0.35918033]",SV,3.3988662,2.1141334
5081,20.30279,1.0104166,97,"[0.81058639 0.81828994 0.82107109 0.85171926 0.85586458 0.8567273
 0.8736763  0.90036148]",SV,5.3252234,3.5063367
5083,2.175816,1.1575714,196,"[1.09704828 1.09697831 1.11272418 1.12939894 1.14098048 1.15093827
 1.15854836 1.16553986]",tf_dense,4.603047,2.8055928
5085,1.7282237,3.0514145,1660,"[2.93438768 2.94342518 2.94294667 2.94815016 2.95152473 2.94857502
 2.95662475 2.95497918]",tf_dense,2.1145267,2.8687947
5087,4.877574,1.9279593,243,"[1.80841696 1.81933939 1.81125569 1.79537654 1.81329477 1.79562616
 1.80443561 1.80687475]",SV,5.61549,3.0967076
5089,1.8805895,2.8865979,392,"[2.78398609 2.79722452 2.79050946 2.78766131 2.78728795 2.78757
 2.78448415 2.782444  ]",SV,2.9304714,1.7755959
5091,1.4383842,1.7053329,566,"[1.6578145  1.64485395 1.66443503 1.64124846 1.64647639 1.63734627
 1.64316034 1.63693452]",SV,3.4088016,1.2042437
5093,11.86441,1.5651604,478,"[1.22412133 1.22989583 1.24013388 1.24416232 1.24384069 1.24170935
 1.23990273 1.24008298]",LR,10.919477,11.623645
5095,5.551483,0.88300222,48,"[0.9566893  0.96144021 0.96732134 0.97465664 0.97204494 0.97268528
 0.97074354 0.97149158]",SV,8.436857,4.6542034
5097,6.6040187,2.1364009,156,"[2.00173998 1.99356711 1.99506211 1.99033391 1.99630499 1.99051654
 1.99064898 2.00209928]",SV,5.0059094,4.4752283
5099,4.4411826,0.79912251,51,"[0.86336005 0.86544418 0.86540902 0.86555988 0.8680039  0.86629754
 0.86292219 0.86267048]",SV,5.618154,4.0605435
5101,1.5248805,2.3947284,149,"[2.33940005 2.3407917  2.34496045 2.34623075 2.34677267 2.34157729
 2.34859824 2.34723544]",SV,1.3044871,0.93746614
5103,6.28216,1.3662696,250,"[1.23053074 1.2354089  1.246364   1.24644959 1.25618422 1.26146317
 1.26554656 1.27633369]",LR,3.03216,5.088168
5105,4.6481543,3.8213398,308,"[3.80645657 3.81217408 3.8075161  3.80098176 3.78998375 3.80262113
 3.79002118 3.79348493]",tf_dense,5.462571,5.3689594
5107,3.0535605,1.1263431,152,"[1.15461659 1.16071117 1.16893172 1.17676735 1.17758358 1.18945527
 1.18519521 1.19052637]",SV,4.4419885,2.9362094
5109,2.8038743,1.2247325,103,"[1.31995296 1.31954134 1.31438112 1.29015231 1.30002606 1.28370798
 1.28191411 1.2766993 ]",tf_dense,3.6534066,5.4618845
5111,4.4088607,0.9735052,176,"[0.93091476 0.93127072 0.93183458 0.92947501 0.93242592 0.92907017
 0.9303115  0.92835957]",SV,2.877173,2.8276172
5113,5.881335,2.03777,314,"[1.82950997 1.82804751 1.82749736 1.81769419 1.82504141 1.82193959
 1.82064855 1.82123232]",tf_dense,11.115476,6.5755353
