Country,MAPE,Density,Active,forecast
1079,1.478522,1.3549086,350,"tf.Tensor(
[1.3338919 1.3365637 1.3423576 1.3551464 1.358045  1.3699363 1.3756964
 1.3851143], shape=(8,), dtype=float32)"
1081,3.5253599,4.0300627,5196,"tf.Tensor(
[3.8154323 3.8175113 3.8233688 3.816525  3.8247938 3.810784  3.820317
 3.8158872], shape=(8,), dtype=float32)"
1083,0.80706656,2.9556651,2220,"tf.Tensor(
[2.9399688 2.9480755 2.9504747 2.951328  2.9670696 2.961745  2.9622116
 2.9641294], shape=(8,), dtype=float32)"
1085,2.2848222,1.4121,109,"tf.Tensor(
[1.3472883 1.3920997 1.409588  1.4026064 1.3987161 1.4188513 1.3956916
 1.4069148], shape=(8,), dtype=float32)"
1087,6.0201573,1.8822141,287,"tf.Tensor(
[1.7445579 1.7499939 1.7485237 1.7514976 1.7490091 1.7470491 1.745152
 1.747292 ], shape=(8,), dtype=float32)"
1089,0.9327816,6.5793228,18907,"tf.Tensor(
[6.4547625 6.478754  6.484376  6.4784913 6.488228  6.4821215 6.4771233
 6.4849763], shape=(8,), dtype=float32)"
1091,2.4147916,1.3613777,200,"tf.Tensor(
[1.3238794 1.3187951 1.3150604 1.3120852 1.3086962 1.3052242 1.3040824
 1.3039757], shape=(8,), dtype=float32)"
1093,0.48916173,1.6310794,385,"tf.Tensor(
[1.6045715 1.609061  1.6166341 1.6179338 1.6202114 1.6318859 1.632547
 1.6355872], shape=(8,), dtype=float32)"
1095,4.060622,2.7775466,2003,"tf.Tensor(
[2.5900707 2.5966034 2.6006036 2.5994105 2.6012328 2.6000712 2.6021
 2.6040177], shape=(8,), dtype=float32)"
1097,1.5335376,4.1089792,13017,"tf.Tensor(
[3.9089782 3.9160273 3.9274929 3.9308763 3.9470122 3.9591312 3.9782727
 3.9917433], shape=(8,), dtype=float32)"
1099,3.2619014,1.0884768,179,"tf.Tensor(
[1.0328109 1.0317504 1.0273801 1.0290107 1.025347  1.0253814 1.0268087
 1.0256207], shape=(8,), dtype=float32)"
1101,0.6948673,4.7827415,8285,"tf.Tensor(
[4.7527146 4.7687297 4.773245  4.7627006 4.774791  4.756925  4.756713
 4.757357 ], shape=(8,), dtype=float32)"
1103,5.820904,3.0141246,2772,"tf.Tensor(
[3.0530303 3.066463  3.0710602 3.091132  3.1361787 3.1491127 3.1593728
 3.1734452], shape=(8,), dtype=float32)"
1105,10.302596,0.64111501,46,"tf.Tensor(
[0.794899   0.7973604  0.7974581  0.8052201  0.7999748  0.8084581
 0.806539   0.81098723], shape=(8,), dtype=float32)"
1107,1.8479533,0.7700907,124,"tf.Tensor(
[0.7371794  0.7381826  0.7354869  0.74085534 0.73955667 0.7488978
 0.74676156 0.75300896], shape=(8,), dtype=float32)"
1109,2.4969556,1.9785838,534,"tf.Tensor(
[1.8830628 1.8896284 1.893366  1.8985661 1.9046297 1.8992583 1.9029927
 1.9099816], shape=(8,), dtype=float32)"
1111,43.718002,5.3465791,958,"tf.Tensor(
[2.313096  2.6357923 2.7367098 2.75958   2.7755342 2.8024688 2.8254857
 3.1028981], shape=(8,), dtype=float32)"
1113,4.294221,2.5342948,1114,"tf.Tensor(
[2.3305438 2.327751  2.337759  2.3410354 2.3460567 2.3457706 2.3432386
 2.3462644], shape=(8,), dtype=float32)"
1115,3.7177484,2.9912791,2058,"tf.Tensor(
[2.838808  2.8353004 2.8288724 2.823021  2.8282979 2.8215344 2.825226
 2.8256214], shape=(8,), dtype=float32)"
1117,5.224835,7.504106,12428,"tf.Tensor(
[7.035396  7.0166926 6.9909906 6.941569  6.9617567 6.920262  6.9184933
 6.912954 ], shape=(8,), dtype=float32)"
1119,2.1907854,1.0226156,104,"tf.Tensor(
[0.98622435 0.9867548  0.98996896 0.99962366 0.9892453  1.0032859
 0.9929231  0.99347997], shape=(8,), dtype=float32)"
1121,0.95417285,1.7200766,1088,"tf.Tensor(
[1.6857722 1.6923318 1.6926566 1.6946217 1.6986651 1.7048395 1.7072833
 1.7112182], shape=(8,), dtype=float32)"
1123,8.824977,3.9135587,1255,"tf.Tensor(
[3.2802017 3.3045268 3.2766898 3.2896583 3.277387  3.268905  3.2730496
 3.2865329], shape=(8,), dtype=float32)"
1125,38.82513,4.086936,6747,"tf.Tensor(
[5.6553364 5.6273623 5.611582  5.597182  5.5876737 5.546035  5.4902053
 4.1387525], shape=(8,), dtype=float32)"
1127,3.71416,1.6231347,806,"tf.Tensor(
[1.5628005 1.5648792 1.5691123 1.5690442 1.5729797 1.5692348 1.5765388
 1.5776918], shape=(8,), dtype=float32)"
1129,2.0518947,0.94889945,122,"tf.Tensor(
[0.9446812  0.9489267  0.9538749  0.95549315 0.96272445 0.9614777
 0.9601403  0.9620221 ], shape=(8,), dtype=float32)"
1131,5.1758604,1.1442786,92,"tf.Tensor(
[1.1754951 1.1792668 1.1718249 1.179346  1.1408116 1.1211476 1.1273806
 1.1122997], shape=(8,), dtype=float32)"
1133,31.8654,3.5551553,671,"tf.Tensor(
[1.2197365 1.218805  1.2248567 1.2242317 1.2336824 1.2330031 1.2360749
 1.23498  ], shape=(8,), dtype=float32)"
2013,8.918863,0.88255262,26,"tf.Tensor(
[1.0213581 1.0211656 1.0121899 0.9834307 0.980144  0.9486584 0.9448586
 0.9278858], shape=(8,), dtype=float32)"
2016,4.5294046,1.2577276,59,"tf.Tensor(
[1.1997273 1.192596  1.1952455 1.1728994 1.1642144 1.1583099 1.1606054
 1.1578236], shape=(8,), dtype=float32)"
2020,2.93874,6.8323822,15112,"tf.Tensor(
[6.5662313 6.5619845 6.5798244 6.5879707 6.5681868 6.577207  6.576261
 6.5801463], shape=(8,), dtype=float32)"
2050,6.8576174,0.85920882,101,"tf.Tensor(
[0.7508457  0.75501037 0.75593364 0.76148    0.76147246 0.7630966
 0.76473117 0.76923096], shape=(8,), dtype=float32)"
2060,17.75494,12.080537,72,"tf.Tensor(
[14.278221 14.372137 14.173192 14.310868 14.382106 14.458479 13.880097
 13.669061], shape=(8,), dtype=float32)"
2068,4.3145204,13.96075,313,"tf.Tensor(
[14.35253  14.447226 14.42272  14.356816 14.433177 14.371925 14.305423
 14.302994], shape=(8,), dtype=float32)"
2070,1.2792656,1.7099056,58,"tf.Tensor(
[1.6852075 1.684812  1.684526  1.6799692 1.6677289 1.6670473 1.6688745
 1.6726955], shape=(8,), dtype=float32)"
2090,6.566993,3.9239032,2933,"tf.Tensor(
[3.8364496 3.8325787 3.7329745 3.5915895 3.6153893 3.562152  3.577887
 3.5814135], shape=(8,), dtype=float32)"
2100,7.1852593,5.390995,91,"tf.Tensor(
[5.136405  5.1427817 5.1323657 5.1019955 5.088505  5.1170616 5.1208577
 5.117838 ], shape=(8,), dtype=float32)"
2105,1.2517796,4.951561,92,"tf.Tensor(
[4.954438  4.926796  4.929448  4.91868   4.916283  4.9192176 4.912617
 4.9083076], shape=(8,), dtype=float32)"
2110,5.645167,3.9851053,1006,"tf.Tensor(
[3.793172  3.777875  3.7457972 3.7216277 3.7289293 3.7158992 3.7196484
 3.7078853], shape=(8,), dtype=float32)"
2122,5.3625016,5.6290445,2566,"tf.Tensor(
[5.6360593 5.582962  5.6651    5.6214013 5.683212  5.6823077 5.7775173
 5.8215714], shape=(8,), dtype=float32)"
2130,0.6353552,5.8247948,631,"tf.Tensor(
[5.7926784 5.777517  5.7778683 5.8218737 5.8031907 5.850623  5.818819
 5.8343935], shape=(8,), dtype=float32)"
2150,3.182108,2.7874913,279,"tf.Tensor(
[2.8802843 2.8767927 2.8757715 2.8717577 2.8679025 2.8699834 2.86608
 2.8648398], shape=(8,), dtype=float32)"
2164,35.525543,4.0697675,35,"tf.Tensor(
[2.5259829 2.5026073 2.5538476 2.5830314 2.5806706 2.583794  2.6154969
 2.6534796], shape=(8,), dtype=float32)"
2170,0.92308384,5.7733874,4541,"tf.Tensor(
[5.612418  5.6377864 5.6518908 5.6535907 5.6765833 5.687757  5.699266
 5.7080736], shape=(8,), dtype=float32)"
2180,2.2256744,1.6190622,106,"tf.Tensor(
[1.6230732 1.6100874 1.6038992 1.6053145 1.5908839 1.5932598 1.5943004
 1.5769482], shape=(8,), dtype=float32)"
2185,3.0494452,1.3205631,91,"tf.Tensor(
[1.3676805 1.3735436 1.3689687 1.3624439 1.3732102 1.3423133 1.3478372
 1.3425362], shape=(8,), dtype=float32)"
2188,18.246477,0.46333602,23,"tf.Tensor(
[0.33933738 0.34839648 0.3430728  0.34798843 0.34204933 0.3421982
 0.34382272 0.3459635 ], shape=(8,), dtype=float32)"
2195,1.3497075,3.1261494,85,"tf.Tensor(
[3.0670245 3.0770416 3.0976548 3.085488  3.1195767 3.1068192 3.1322968
 3.1479058], shape=(8,), dtype=float32)"
2198,2.6029382,3.5217035,172,"tf.Tensor(
[3.491003  3.538805  3.563013  3.6189914 3.6368065 3.6530938 3.6799896
 3.6851954], shape=(8,), dtype=float32)"
2220,2.8903174,6.198102,418,"tf.Tensor(
[6.380304  6.389399  6.405235  6.37185   6.264948  6.132008  6.024467
 5.9875565], shape=(8,), dtype=float32)"
2230,7.3514543,6.4285712,72,"tf.Tensor(
[7.160623  7.080386  7.040649  6.9591866 6.9390793 6.889697  6.835061
 6.7514644], shape=(8,), dtype=float32)"
2240,4.968639,4.0007882,203,"tf.Tensor(
[3.8564618 3.9221468 3.9775126 4.00764   4.0383196 4.088482  4.129
 4.1366487], shape=(8,), dtype=float32)"
2275,5.420903,5.4911838,109,"tf.Tensor(
[4.8330226 4.855819  4.8631473 4.8587375 4.8487153 4.8827934 4.866258
 4.8865333], shape=(8,), dtype=float32)"
2282,4.4640665,4.5553145,21,"tf.Tensor(
[4.1811624 4.1924696 4.1661887 4.2149057 4.1751814 4.2793384 4.2569537
 4.2980933], shape=(8,), dtype=float32)"
2290,9.739402,2.9265742,112,"tf.Tensor(
[2.4569662 2.4722805 2.475553  2.4899018 2.5006204 2.522657  2.5186434
 2.5324228], shape=(8,), dtype=float32)"
4001,0.85975,4.8952913,2569,"tf.Tensor(
[4.9292135 4.9276614 4.923231  4.9164367 4.91361   4.9132814 4.9032183
 4.9083076], shape=(8,), dtype=float32)"
4003,3.3674507,3.6642728,3638,"tf.Tensor(
[3.5127714 3.5208843 3.5218813 3.5173168 3.523384  3.5186906 3.5169883
 3.5194454], shape=(8,), dtype=float32)"
4005,3.7557092,6.1070185,6914,"tf.Tensor(
[5.7425017 5.7540894 5.7672524 5.7563014 5.746608  5.736025  5.7312307
 5.728217 ], shape=(8,), dtype=float32)"
4007,1.4263644,4.2471848,1833,"tf.Tensor(
[4.1560264 4.1526136 4.149446  4.149224  4.1385713 4.1409574 4.1376476
 4.1354294], shape=(8,), dtype=float32)"
4009,1.3559794,1.95456,548,"tf.Tensor(
[1.9882585 1.9895211 1.9882326 1.9851488 1.9907005 1.985072  1.9763504
 1.980345 ], shape=(8,), dtype=float32)"
4011,1.9616991,1.3226744,91,"tf.Tensor(
[1.3117864 1.3123847 1.3143492 1.3101509 1.3078622 1.306237  1.3008033
 1.296572 ], shape=(8,), dtype=float32)"
4012,1.219511,2.2875261,404,"tf.Tensor(
[2.342222  2.3410916 2.31973   2.3012652 2.3017673 2.2888422 2.2888083
 2.2764654], shape=(8,), dtype=float32)"
4013,0.87120503,14.87283,499989,"tf.Tensor(
[14.43704  14.441426 14.491793 14.535568 14.60131  14.592711 14.678244
 14.741065], shape=(8,), dtype=float32)"
4015,1.5107614,4.7247872,8268,"tf.Tensor(
[4.625749  4.638401  4.6362953 4.635466  4.634171  4.631268  4.6409883
 4.640328 ], shape=(8,), dtype=float32)"
4017,0.94308144,3.7451751,3037,"tf.Tensor(
[3.730889  3.7326028 3.73437   3.7405503 3.7372751 3.746249  3.730896
 3.7338548], shape=(8,), dtype=float32)"
4019,2.497011,6.68788,54982,"tf.Tensor(
[6.443412  6.450685  6.45488   6.453617  6.46256   6.460752  6.4627733
 6.4663196], shape=(8,), dtype=float32)"
4021,3.628234,4.4964161,15575,"tf.Tensor(
[4.653442  4.665406  4.6661696 4.6682024 4.675361  4.6790676 4.6798906
 4.6751366], shape=(8,), dtype=float32)"
4023,2.1360297,4.4486971,1511,"tf.Tensor(
[4.3963842 4.4371834 4.4622793 4.49423   4.5205956 4.587534  4.5765076
 4.63266  ], shape=(8,), dtype=float32)"
4025,1.4640747,9.653409,18806,"tf.Tensor([9.487034 9.487182 9.467649 9.436751 9.446495 9.410351 9.427951 9.413124], shape=(8,), dtype=float32)"
4027,0.6092259,2.2309802,3538,"tf.Tensor(
[2.2108955 2.216429  2.2198424 2.2233062 2.2270207 2.2274628 2.233836
 2.2295501], shape=(8,), dtype=float32)"
5001,4.2493343,1.7232567,236,"tf.Tensor(
[1.6817235 1.7137704 1.7285568 1.7896806 1.795437  1.8125954 1.8004706
 1.8167082], shape=(8,), dtype=float32)"
5003,5.0210595,1.0756869,166,"tf.Tensor(
[1.1032197 1.1030109 1.101295  1.0940608 1.0948929 1.0877595 1.0842601
 1.0804291], shape=(8,), dtype=float32)"
5005,2.363111,3.2900281,1132,"tf.Tensor(
[3.3507113 3.3552392 3.3735275 3.3737597 3.3658783 3.3829346 3.3729613
 3.3776622], shape=(8,), dtype=float32)"
5007,4.7288065,6.0781288,12256,"tf.Tensor(
[5.626227  5.6239443 5.6223645 5.6361732 5.66004   5.6338983 5.688122
 5.6755652], shape=(8,), dtype=float32)"
5009,3.3913295,3.2066753,930,"tf.Tensor(
[3.0843053 3.0837426 3.0900676 3.08595   3.0936766 3.0843146 3.0983608
 3.0924602], shape=(8,), dtype=float32)"
5011,9.355707,0.98913175,81,"tf.Tensor(
[1.0597762 1.0673184 1.0708394 1.0870044 1.0831696 1.0855199 1.0837598
 1.082177 ], shape=(8,), dtype=float32)"
5013,10.55337,0.3576538,15,"tf.Tensor(
[0.38073617 0.3802099  0.37586266 0.37641153 0.35619307 0.3586069
 0.35053283 0.3550508 ], shape=(8,), dtype=float32)"
5015,2.960583,6.2551327,1371,"tf.Tensor(
[6.115441  6.1542735 6.251548  6.345246  6.398514  6.4450045 6.485436
 6.5423155], shape=(8,), dtype=float32)"
5017,4.271555,1.217862,99,"tf.Tensor(
[1.1752311 1.1846862 1.1912544 1.20085   1.2024422 1.2121326 1.2110218
 1.2142291], shape=(8,), dtype=float32)"
5019,8.5235815,2.4252803,439,"tf.Tensor(
[2.7124183 2.734065  2.7557626 2.7813728 2.7877066 2.799681  2.8039458
 2.8118474], shape=(8,), dtype=float32)"
5021,5.200101,0.71836591,83,"tf.Tensor(
[0.6739662  0.6734821  0.6735978  0.6703289  0.673763   0.6707126
 0.67220616 0.6723926 ], shape=(8,), dtype=float32)"
5023,1.3613656,2.7335861,555,"tf.Tensor(
[2.5489843 2.5712225 2.597909  2.6128302 2.6278167 2.6347392 2.6508105
 2.668443 ], shape=(8,), dtype=float32)"
5025,2.9985926,0.76947737,48,"tf.Tensor(
[0.7718804  0.77255684 0.77309275 0.77082163 0.77534825 0.7710556
 0.7718758  0.7702024 ], shape=(8,), dtype=float32)"
5027,0.69236857,1.329631,249,"tf.Tensor(
[1.2964758 1.3036408 1.3109276 1.3113048 1.316089  1.3187162 1.3201141
 1.325696 ], shape=(8,), dtype=float32)"
5029,2.48767,2.5979662,419,"tf.Tensor(
[2.3965018 2.4311166 2.44353   2.456032  2.4580185 2.4811802 2.5007503
 2.4742222], shape=(8,), dtype=float32)"
5031,4.537789,3.7567432,3085,"tf.Tensor(
[4.0045614 4.017854  4.001571  4.0250444 4.0113087 4.01508   4.024477
 4.0059605], shape=(8,), dtype=float32)"
5033,1.1613635,2.5179403,1200,"tf.Tensor(
[2.4396422 2.4463832 2.4503536 2.4551013 2.4600062 2.4741166 2.4704585
 2.4766035], shape=(8,), dtype=float32)"
5035,3.1547897,1.6020907,564,"tf.Tensor(
[1.6174297 1.6037213 1.5909219 1.5667117 1.5562853 1.5452521 1.5377285
 1.5242118], shape=(8,), dtype=float32)"
5037,4.22496,1.6790749,212,"tf.Tensor(
[1.5485866 1.5480644 1.5610871 1.5608944 1.5637397 1.5661811 1.5678568
 1.5715381], shape=(8,), dtype=float32)"
5039,7.626307,0.66095036,37,"tf.Tensor(
[0.5389786  0.53909814 0.54405934 0.54994035 0.55422646 0.55465484
 0.55535394 0.5626247 ], shape=(8,), dtype=float32)"
5041,4.1385403,0.75792909,65,"tf.Tensor(
[0.82925326 0.8239231  0.82261515 0.81401724 0.80279046 0.8048407
 0.7974124  0.79140437], shape=(8,), dtype=float32)"
5043,4.7657065,0.86767894,124,"tf.Tensor(
[0.7799965  0.7834275  0.7833873  0.77743703 0.7858591  0.77808565
 0.78147584 0.7802628 ], shape=(8,), dtype=float32)"
5045,2.0691147,4.1833377,4015,"tf.Tensor(
[4.0378017 4.042154  4.0400095 4.02918   4.04356   4.0340176 4.035337
 4.0419383], shape=(8,), dtype=float32)"
5047,1.0194061,1.2105302,166,"tf.Tensor(
[1.2021234 1.2043799 1.2069186 1.212405  1.2144023 1.2169771 1.2199994
 1.2210073], shape=(8,), dtype=float32)"
5049,10.359643,2.7492819,268,"tf.Tensor(
[2.2569425 2.2892213 2.3067217 2.3240497 2.3508027 2.3546205 2.3598723
 2.387321 ], shape=(8,), dtype=float32)"
5051,3.3898094,4.7176247,3734,"tf.Tensor(
[4.477361  4.4729757 4.4716663 4.4681754 4.4602404 4.4630027 4.4608808
 4.4536495], shape=(8,), dtype=float32)"
5053,5.284841,1.1956137,169,"tf.Tensor(
[1.059848  1.0708637 1.0787313 1.0856708 1.0877341 1.0939178 1.0937403
 1.1069535], shape=(8,), dtype=float32)"
5055,3.6833518,2.3327284,797,"tf.Tensor(
[2.4498675 2.4264677 2.373466  2.3679118 2.3674657 2.3595786 2.336101
 2.3352234], shape=(8,), dtype=float32)"
5057,7.8874817,1.062778,172,"tf.Tensor(
[0.94334424 0.944328   0.9430531  0.9434641  0.94278914 0.9449132
 0.94484884 0.94797045], shape=(8,), dtype=float32)"
5059,1.6933454,1.5779539,418,"tf.Tensor(
[1.549956  1.550959  1.5547812 1.5564371 1.5604686 1.5647168 1.5676606
 1.5709652], shape=(8,), dtype=float32)"
5061,5.102981,1.2330582,121,"tf.Tensor(
[1.1324525 1.1310263 1.1346534 1.1329774 1.1309777 1.1341296 1.1335045
 1.1347278], shape=(8,), dtype=float32)"
5063,6.3086534,1.8441404,527,"tf.Tensor(
[1.7428236 1.7381742 1.7516782 1.7370439 1.7376736 1.727099  1.7298824
 1.739989 ], shape=(8,), dtype=float32)"
5065,2.6265614,1.576697,177,"tf.Tensor(
[1.4687662 1.4598941 1.4592583 1.4517603 1.4539796 1.4499588 1.4536756
 1.4519174], shape=(8,), dtype=float32)"
5067,4.2447047,0.65011823,88,"tf.Tensor(
[0.61979145 0.61840653 0.61323714 0.6060723  0.60251206 0.60217005
 0.6020474  0.5986476 ], shape=(8,), dtype=float32)"
5069,3.6433454,1.4297808,760,"tf.Tensor(
[1.3302977 1.3310952 1.3332597 1.336947  1.339446  1.3418558 1.3413321
 1.3434566], shape=(8,), dtype=float32)"
5071,1.9644052,2.1510205,431,"tf.Tensor(
[2.131679  2.1343188 2.1319678 2.1322613 2.1409242 2.128527  2.136222
 2.138557 ], shape=(8,), dtype=float32)"
5073,6.936881,0.91759956,50,"tf.Tensor(
[0.81757975 0.80641174 0.80179256 0.80312014 0.7962228  0.80128527
 0.8034038  0.7994629 ], shape=(8,), dtype=float32)"
5075,2.5035164,1.2029492,155,"tf.Tensor(
[1.1731381 1.1746248 1.1843394 1.1734778 1.1780742 1.1697378 1.1727031
 1.1707098], shape=(8,), dtype=float32)"
5077,15.343732,0.6141668,45,"tf.Tensor(
[0.7572956  0.7530431  0.75534767 0.7591708  0.7522864  0.75669134
 0.7563554  0.7544403 ], shape=(8,), dtype=float32)"
5079,5.7812033,0.37104073,41,"tf.Tensor(
[0.33926463 0.34201577 0.3417185  0.35182917 0.35284653 0.35672927
 0.36106348 0.35918033], shape=(8,), dtype=float32)"
5081,20.30279,1.0104166,97,"tf.Tensor(
[0.8105864  0.81828994 0.8210711  0.85171926 0.8558646  0.8567273
 0.8736763  0.9003615 ], shape=(8,), dtype=float32)"
5083,2.175816,1.1575714,196,"tf.Tensor(
[1.0970483 1.0969783 1.1127242 1.129399  1.1409805 1.1509383 1.1585484
 1.1655399], shape=(8,), dtype=float32)"
5085,1.7282237,3.0514145,1660,"tf.Tensor(
[2.9343877 2.9434252 2.9429467 2.9481502 2.9515247 2.948575  2.9566247
 2.9549792], shape=(8,), dtype=float32)"
