Country,MAPE,Density,Active,forecast,category,new_MAPE,new_predict,new_category
1035,23.622805,1.095947,106,"[1.27446294 1.40168488 1.4664849  1.39194572 1.3797245  1.43210089
 1.48503208 1.3514744 ]",2,6.964650630950928,"[1.2096775, 1.2096775, 1.2096775, 1.2096775, 1.2096775, 1.2096775, 1.2096775, 1.2096775]",Same value
1037,7.1273537,0.82838911,74,"[0.70595896 0.70367837 0.70472574 0.70479524 0.71696925 0.72184551
 0.72073996 0.73334479]",2,5.249945640563965,"[0.69405574 0.70308108 0.71210642 0.72113177 0.73015711 0.73918245
 0.74820779 0.75723313]",LR
1039,1.7433189,1.6845804,489,"[1.67625856 1.68132198 1.6882875  1.69614708 1.69986403 1.70325124
 1.71028125 1.71586645]",2,2.6153554916381836,"[1.6914703  1.69703588 1.70260146 1.70816704 1.71373262 1.7192982
 1.72486378 1.73042936]",LR
1041,10.262156,1.0612549,114,"[0.9872607  0.98994994 0.99020994 0.98788017 0.99362177 0.98921043
 0.98864949 0.99268252]",2,7.169795036315918,"[1.0240179, 1.0240179, 1.0240179, 1.0240179, 1.0240179, 1.0240179, 1.0240179, 1.0240179]",Same value
1043,2.6323743,2.6872737,1737,"[2.56516457 2.56876016 2.57023239 2.57275271 2.57868242 2.57594299
 2.58455205 2.59375429]",2,1.9152578115463257,"[2.5867138  2.58981549 2.59291719 2.59601888 2.59912058 2.60222227
 2.60532397 2.60842566]",LR
1045,3.4758854,1.7595617,668,"[1.68728065 1.68176353 1.68125033 1.68198764 1.68439758 1.6934526
 1.68821478 1.69922662]",2,2.3597466945648193,"[1.7147825, 1.7147825, 1.7147825, 1.7147825, 1.7147825, 1.7147825, 1.7147825, 1.7147825]",Same value
1047,3.9287508,1.4739386,427,"[1.38399124 1.39361918 1.3990134  1.40700126 1.40988934 1.40768683
 1.40882111 1.42755747]",2,0.8766552209854126,"[1.4290645  1.43853284 1.44800117 1.45746951 1.46693784 1.47640618
 1.48587451 1.49534285]",LR
1049,2.0229108,2.2713821,1228,"[2.31029367 2.31152821 2.31660986 2.32396603 2.32647276 2.33102846
 2.33554506 2.33192492]",2,2.821794033050537,"[2.3213229  2.32711447 2.33290604 2.33869761 2.34448918 2.35028075
 2.35607232 2.36186389]",LR
1051,8.2089,3.2452056,2056,"[2.9686234  2.96866846 3.00503826 3.02012038 3.05263829 3.06753898
 3.13377547 3.2786274 ]",2,1.6835622787475586,"[3.308342   3.32616085 3.3439797  3.36179855 3.3796174  3.39743625
 3.4152551  3.43307395]",LR
1053,8.391535,1.948416,556,"[1.69309783 1.69823182 1.70736492 1.70913959 1.71937728 1.71766937
 1.72076142 1.72523284]",2,6.768886566162109,"[1.7416596  1.7415687  1.74147781 1.74138691 1.74129601 1.74120512
 1.74111422 1.74102332]",LR
1055,6.2464366,2.7364635,2206,"[2.41998625 2.42218542 2.42702031 2.43570876 2.43796921 2.45280623
 2.4539113  2.46255922]",2,7.007105827331543,"[2.4015381  2.40655462 2.41157114 2.41658766 2.42160418 2.42662069
 2.43163721 2.43665373]",LR
1057,8.340091,1.0514109,136,"[1.43442619 1.17023253 1.11507392 1.05552733 1.0520649  1.04561937
 1.04291427 1.05068064]",2,1.1999220848083496,"[1.035949, 1.035949, 1.035949, 1.035949, 1.035949, 1.035949, 1.035949, 1.035949]",Same value
1059,9.333858,1.9323264,458,"[1.75311089 1.75672352 1.76702726 1.79273689 1.79643953 1.83895183
 1.84948146 1.86749363]",2,5.181403636932373,"[1.8859168, 1.8859168, 1.8859168, 1.8859168, 1.8859168, 1.8859168, 1.8859168, 1.8859168]",Same value
1061,1.4902871,1.4523023,299,"[1.38320935 1.38492918 1.3930186  1.40010118 1.40965915 1.41522336
 1.41929328 1.42796373]",1,1.4902871,"30    [1.38320935 1.38492918 1.3930186  1.40010118 1...
Name: forecast, dtype: object",tf_dense
1063,8.013791,1.4407436,93,"[1.24325907 1.2389667  1.24746549 1.25761962 1.25961208 1.26594329
 1.27588296 1.29062676]",2,4.420680522918701,"[1.3168087, 1.3168087, 1.3168087, 1.3168087, 1.3168087, 1.3168087, 1.3168087, 1.3168087]",Same value
1065,3.779508,1.1825964,134,"[1.05912817 1.073789   1.09064639 1.0952282  1.09783959 1.10635853
 1.10976052 1.11191392]",2,4.2111711502075195,"[1.1384697  1.15150747 1.16454524 1.17758301 1.19062078 1.20365855
 1.21669632 1.22973409]",LR
1067,2.1399949,2.4543042,333,"[2.49390531 2.47989631 2.47221899 2.4423933  2.4283967  2.42218041
 2.4024148  2.37993264]",2,2.227086067199707,"[2.4174528  2.40814127 2.39882973 2.3895182  2.38020666 2.37089513
 2.36158359 2.35227206]",LR
1069,1.3476565,3.4243109,2774,"[3.38743854 3.38984942 3.38587618 3.38004971 3.37744713 3.37079597
 3.37092447 3.36822057]",1,1.3476565,"34    [3.38743854 3.38984942 3.38587618 3.38004971 3...
Name: forecast, dtype: object",tf_dense
1071,2.3418787,1.7799511,728,"[1.72615099 1.73749125 1.7502656  1.81875694 1.83206284 1.84138143
 1.84821129 1.85794079]",2,0.7687147855758667,"[1.7823961, 1.7823961, 1.7823961, 1.7823961, 1.7823961, 1.7823961, 1.7823961, 1.7823961]",Same value
1073,1.6518133,6.5080609,33078,"[6.31614971 6.32566309 6.33061075 6.32746458 6.34752846 6.33320141
 6.35050297 6.3479991 ]",2,0.9959835410118103,"[6.3547935  6.36118105 6.36756859 6.37395614 6.38034368 6.38673123
 6.39311878 6.39950632]",LR
1075,3.3863976,0.93406087,101,"[0.87379897 0.87989616 0.87618971 0.87936997 0.88154942 0.8882184
 0.88390321 0.89326322]",2,4.766645431518555,"[0.86932397, 0.86932397, 0.86932397, 0.86932397, 0.86932397, 0.86932397, 0.86932397, 0.86932397]",Same value
1077,1.048487,4.0402412,3012,"[4.19857216 4.19443989 4.17895794 4.16915417 4.16011477 4.15285921
 4.14433479 4.13932419]",1,1.048487,"38    [4.19857216 4.19443989 4.17895794 4.16915417 4...
Name: forecast, dtype: object",tf_dense
1079,1.478522,1.3549086,350,"[1.33389187 1.33656371 1.34235764 1.35514641 1.35804498 1.36993635
 1.37569642 1.38511431]",1,1.478522,"39    [1.33389187 1.33656371 1.34235764 1.35514641 1...
Name: forecast, dtype: object",tf_dense
1081,3.5253599,4.0300627,5196,"[3.81543231 3.81751132 3.82336879 3.81652498 3.82479382 3.8107841
 3.82031703 3.81588721]",2,2.402097463607788,"[3.8625312, 3.8625312, 3.8625312, 3.8625312, 3.8625312, 3.8625312, 3.8625312, 3.8625312]",Same value
1083,0.80706656,2.9556651,2220,"[2.93996882 2.94807553 2.95047474 2.95132804 2.96706963 2.96174502
 2.96221161 2.96412945]",1,0.80706656,"41    [2.93996882 2.94807553 2.95047474 2.95132804 2...
Name: forecast, dtype: object",tf_dense
1085,2.2848222,1.4121,109,"[1.34728825 1.39209974 1.40958798 1.40260637 1.39871609 1.41885126
 1.39569163 1.40691483]",2,5.071593284606934,"[1.3861899  1.40322494 1.42025999 1.43729503 1.45433007 1.47136512
 1.48840016 1.5054352 ]",LR
1087,6.0201573,1.8822141,287,"[1.74455786 1.74999392 1.74852371 1.75149763 1.74900913 1.74704909
 1.745152   1.74729204]",2,3.0286874771118164,"[1.8035152, 1.8035152, 1.8035152, 1.8035152, 1.8035152, 1.8035152, 1.8035152, 1.8035152]",Same value
1089,0.9327816,6.5793228,18907,"[6.45476246 6.47875404 6.48437595 6.47849131 6.48822784 6.48212147
 6.47712326 6.48497629]",1,0.9327816,"44    [6.45476246 6.47875404 6.48437595 6.47849131 6...
Name: forecast, dtype: object",tf_dense
1091,2.4147916,1.3613777,200,"[1.32387936 1.31879508 1.31506038 1.31208515 1.30869615 1.30522418
 1.30408239 1.3039757 ]",2,2.159787178039551,"[1.340957   1.33531918 1.32968136 1.32404355 1.31840573 1.31276791
 1.30713009 1.30149227]",LR
1093,0.48916173,1.6310794,385,"[1.60457146 1.609061   1.61663413 1.61793375 1.62021136 1.63188589
 1.63254702 1.63558722]",1,0.48916173,"46    [1.60457146 1.609061   1.61663413 1.61793375 1...
Name: forecast, dtype: object",tf_dense
1095,4.060622,2.7775466,2003,"[2.59007072 2.59660339 2.60060358 2.59941053 2.60123277 2.60007119
 2.6020999  2.60401773]",2,2.8655407428741455,"[2.6333306  2.63282649 2.63232238 2.63181828 2.63131417 2.63081006
 2.63030595 2.62980185]",LR
1097,1.5335376,4.1089792,13017,"[3.90897822 3.91602731 3.92749286 3.93087626 3.94701219 3.95913124
 3.97827268 3.99174333]",2,2.7442545890808105,"[3.8889625, 3.8889625, 3.8889625, 3.8889625, 3.8889625, 3.8889625, 3.8889625, 3.8889625]",Same value
1099,3.2619014,1.0884768,179,"[1.03281093 1.03175044 1.02738011 1.02901065 1.02534699 1.02538145
 1.02680874 1.0256207 ]",2,3.1742124557495117,"[1.027668, 1.027668, 1.027668, 1.027668, 1.027668, 1.027668, 1.027668, 1.027668]",Same value
1101,0.6948673,4.7827415,8285,"[4.75271463 4.76872969 4.77324486 4.76270056 4.77479076 4.75692511
 4.75671291 4.75735712]",1,0.6948673,"50    [4.75271463 4.76872969 4.77324486 4.76270056 4...
Name: forecast, dtype: object",tf_dense
1103,5.820904,3.0141246,2772,"[3.05303025 3.06646299 3.07106018 3.09113193 3.13617873 3.1491127
 3.15937281 3.17344522]",2,2.8290343284606934,"[3.0239108, 3.0239108, 3.0239108, 3.0239108, 3.0239108, 3.0239108, 3.0239108, 3.0239108]",Same value
1105,10.302596,0.64111501,46,"[0.79489899 0.79736042 0.79745811 0.80522013 0.7999748  0.80845809
 0.806539   0.81098723]",2,17.514217376708984,"[0.79442507 0.81107369 0.82772232 0.84437094 0.86101956 0.87766819
 0.89431681 0.91096543]",LR
1107,1.8479533,0.7700907,124,"[0.7371794  0.7381826  0.73548692 0.74085534 0.73955667 0.74889779
 0.74676156 0.75300896]",2,2.7246038913726807,"[0.7328282, 0.7328282, 0.7328282, 0.7328282, 0.7328282, 0.7328282, 0.7328282, 0.7328282]",Same value
1109,2.4969556,1.9785838,534,"[1.88306284 1.88962841 1.89336598 1.89856613 1.90462971 1.89925826
 1.90299273 1.90998161]",2,2.5232725143432617,"[1.8970692, 1.8970692, 1.8970692, 1.8970692, 1.8970692, 1.8970692, 1.8970692, 1.8970692]",Same value
1111,43.718002,5.3465791,958,"[2.31309605 2.63579226 2.73670983 2.7595799  2.77553415 2.80246878
 2.82548571 3.10289812]",2,3.8035593032836914,"[4.3978124  4.47927667 4.56074094 4.64220521 4.72366948 4.80513375
 4.88659801 4.96806228]",LR
1113,4.294221,2.5342948,1114,"[2.33054376 2.32775092 2.33775902 2.34103537 2.3460567  2.3457706
 2.34323859 2.34626436]",2,4.801082611083984,"[2.3272743, 2.3272743, 2.3272743, 2.3272743, 2.3272743, 2.3272743, 2.3272743, 2.3272743]",Same value
1115,3.7177484,2.9912791,2058,"[2.83880806 2.83530045 2.82887244 2.82302094 2.82829785 2.8215344
 2.82522607 2.82562137]",2,2.774641990661621,"[2.8561046, 2.8561046, 2.8561046, 2.8561046, 2.8561046, 2.8561046, 2.8561046, 2.8561046]",Same value
1117,5.224835,7.504106,12428,"[7.0353961  7.01669264 6.99099064 6.94156885 6.96175671 6.92026186
 6.91849327 6.91295385]",2,2.6826095581054688,"[7.1496716, 7.1496716, 7.1496716, 7.1496716, 7.1496716, 7.1496716, 7.1496716, 7.1496716]",Same value
1119,2.1907854,1.0226156,104,"[0.98622435 0.98675478 0.98996896 0.99962366 0.9892453  1.00328588
 0.99292308 0.99347997]",2,8.135525703430176,"[0.92428714, 0.92428714, 0.92428714, 0.92428714, 0.92428714, 0.92428714, 0.92428714, 0.92428714]",Same value
1121,0.95417285,1.7200766,1088,"[1.68577218 1.69233179 1.69265664 1.69462168 1.69866514 1.70483947
 1.70728326 1.71121824]",1,0.95417285,"60    [1.68577218 1.69233179 1.69265664 1.69462168 1...
Name: forecast, dtype: object",tf_dense
1123,8.824977,3.9135587,1255,"[3.28020167 3.30452681 3.27668977 3.28965831 3.2773869  3.26890492
 3.27304959 3.28653288]",2,9.024828910827637,"[3.2898841  3.28501719 3.28015029 3.27528338 3.27041647 3.26554956
 3.26068266 3.25581575]",LR
1125,38.82513,4.086936,6747,"[5.65533638 5.62736225 5.6115818  5.5971818  5.58767366 5.54603481
 5.49020529 4.13875246]",2,2.9858343601226807,"[3.7846711, 3.7846711, 3.7846711, 3.7846711, 3.7846711, 3.7846711, 3.7846711, 3.7846711]",Same value
1127,3.71416,1.6231347,806,"[1.56280053 1.56487918 1.5691123  1.56904423 1.57297969 1.56923485
 1.5765388  1.57769179]",2,2.201103687286377,"[1.5949413, 1.5949413, 1.5949413, 1.5949413, 1.5949413, 1.5949413, 1.5949413, 1.5949413]",Same value
1129,2.0518947,0.94889945,122,"[0.94468123 0.94892669 0.95387489 0.95549315 0.96272445 0.9614777
 0.96014029 0.96202213]",2,1.6391270160675049,"[0.95667732, 0.95667732, 0.95667732, 0.95667732, 0.95667732, 0.95667732, 0.95667732, 0.95667732]",Same value
1131,5.1758604,1.1442786,92,"[1.17549515 1.17926681 1.17182493 1.17934597 1.14081156 1.12114763
 1.12738061 1.11229968]",2,6.659140586853027,"[1.0323383, 1.0323383, 1.0323383, 1.0323383, 1.0323383, 1.0323383, 1.0323383, 1.0323383]",Same value
1133,31.8654,3.5551553,671,"[1.21973646 1.21880496 1.22485673 1.22423172 1.23368239 1.23300314
 1.23607492 1.23497999]",2,31.447511672973633,"[1.2345024  1.23489103 1.23527966 1.23566829 1.23605692 1.23644556
 1.23683419 1.23722282]",LR
2013,8.918863,0.88255262,26,"[1.02135813 1.02116561 1.01218987 0.98343068 0.98014402 0.94865841
 0.94485861 0.92788577]",2,1.9230756759643555,"[0.91649693, 0.91649693, 0.91649693, 0.91649693, 0.91649693, 0.91649693, 0.91649693, 0.91649693]",Same value
2016,4.5294046,1.2577276,59,"[1.1997273  1.19259596 1.1952455  1.17289937 1.16421437 1.15830994
 1.16060543 1.15782356]",2,3.392643451690674,"[1.2150928, 1.2150928, 1.2150928, 1.2150928, 1.2150928, 1.2150928, 1.2150928, 1.2150928]",Same value
2020,2.93874,6.8323822,15112,"[6.56623125 6.56198454 6.57982445 6.58797073 6.56818676 6.57720709
 6.57626104 6.58014631]",2,2.086852550506592,"[6.6547008  6.64830874 6.64191667 6.63552461 6.62913255 6.62274048
 6.61634842 6.60995636]",LR
2050,6.8576174,0.85920882,101,"[0.75084567 0.75501037 0.75593364 0.76147997 0.76147246 0.76309657
 0.76473117 0.76923096]",2,3.5510261058807373,"[0.77413869 0.77905748 0.78397628 0.78889507 0.79381386 0.79873265
 0.80365145 0.80857024]",LR
2060,17.75494,12.080537,72,"[14.27822113 14.37213707 14.17319202 14.31086826 14.38210583 14.45847893
 13.88009739 13.66906071]",2,5.819418907165527,"[12.751678, 12.751678, 12.751678, 12.751678, 12.751678, 12.751678, 12.751678, 12.751678]",Same value
2068,4.3145204,13.96075,313,"[14.35252953 14.44722557 14.42271996 14.35681629 14.43317699 14.37192535
 14.30542278 14.30299377]",2,1.845792293548584,"[13.514719   13.51780346 13.52088792 13.52397238 13.52705684 13.5301413
 13.53322576 13.53631022]",LR
2070,1.2792656,1.7099056,58,"[1.68520749 1.68481195 1.68452597 1.67996919 1.6677289  1.66704726
 1.6688745  1.67269552]",1,1.2792656,"73    [1.68520749 1.68481195 1.68452597 1.67996919 1...
Name: forecast, dtype: object",tf_dense
2090,6.566993,3.9239032,2933,"[3.83644962 3.83257866 3.73297453 3.59158945 3.61538935 3.56215191
 3.57788706 3.58141351]",2,1.6154464483261108,"[3.8610246, 3.8610246, 3.8610246, 3.8610246, 3.8610246, 3.8610246, 3.8610246, 3.8610246]",Same value
2100,7.1852593,5.390995,91,"[5.13640499 5.14278173 5.1323657  5.10199547 5.08850479 5.11706161
 5.12085772 5.11783791]",2,3.343208074569702,"[5.3317537, 5.3317537, 5.3317537, 5.3317537, 5.3317537, 5.3317537, 5.3317537, 5.3317537]",Same value
2105,1.2517796,4.951561,92,"[4.95443821 4.92679596 4.92944813 4.91868019 4.91628313 4.91921759
 4.91261721 4.90830755]",1,1.2517796,"76    [4.95443821 4.92679596 4.92944813 4.91868019 4...
Name: forecast, dtype: object",tf_dense
2110,5.645167,3.9851053,1006,"[3.79317188 3.77787495 3.74579716 3.72162771 3.72892928 3.71589923
 3.71964836 3.70788527]",2,3.0382237434387207,"[3.8424971, 3.8424971, 3.8424971, 3.8424971, 3.8424971, 3.8424971, 3.8424971, 3.8424971]",Same value
2122,5.3625016,5.6290445,2566,"[5.63605928 5.58296204 5.6651001  5.62140131 5.6832118  5.68230772
 5.77751732 5.82157135]",2,8.123926162719727,"[6.3485794, 6.3485794, 6.3485794, 6.3485794, 6.3485794, 6.3485794, 6.3485794, 6.3485794]",Same value
2130,0.6353552,5.8247948,631,"[5.79267836 5.77751684 5.77786827 5.82187366 5.80319071 5.85062313
 5.81881905 5.8343935 ]",1,0.6353552,"79    [5.79267836 5.77751684 5.77786827 5.82187366 5...
Name: forecast, dtype: object",tf_dense
2150,3.182108,2.7874913,279,"[2.88028431 2.87679267 2.87577152 2.87175775 2.86790252 2.86998343
 2.86608005 2.86483979]",2,2.3100268840789795,"[2.8474374, 2.8474374, 2.8474374, 2.8474374, 2.8474374, 2.8474374, 2.8474374, 2.8474374]",Same value
2164,35.525543,4.0697675,35,"[2.52598286 2.50260735 2.55384755 2.58303142 2.5806706  2.58379412
 2.61549687 2.65347958]",2,20.515207290649414,"[3.139535   3.14926204 3.15898907 3.16871611 3.17844314 3.18817018
 3.19789722 3.20762425]",LR
2170,0.92308384,5.7733874,4541,"[5.61241817 5.63778639 5.65189075 5.65359068 5.67658329 5.68775702
 5.69926596 5.70807362]",1,0.92308384,"82    [5.61241817 5.63778639 5.65189075 5.65359068 5...
Name: forecast, dtype: object",tf_dense
2180,2.2256744,1.6190622,106,"[1.62307322 1.61008739 1.60389924 1.60531449 1.59088385 1.59325981
 1.59430039 1.57694817]",2,1.7579280138015747,"[1.6648847, 1.6648847, 1.6648847, 1.6648847, 1.6648847, 1.6648847, 1.6648847, 1.6648847]",Same value
2185,3.0494452,1.3205631,91,"[1.36768055 1.37354362 1.36896873 1.36244392 1.37321019 1.34231329
 1.34783721 1.34253621]",2,2.2100985050201416,"[1.3931215  1.38280979 1.37249807 1.36218636 1.35187465 1.34156293
 1.33125122 1.3209395 ]",LR
2188,18.246477,0.46333602,23,"[0.33933738 0.34839648 0.3430728  0.34798843 0.34204933 0.34219819
 0.34382272 0.34596351]",2,18.63113021850586,"[0.34246576, 0.34246576, 0.34246576, 0.34246576, 0.34246576, 0.34246576, 0.34246576, 0.34246576]",Same value
2195,1.3497075,3.1261494,85,"[3.06702447 3.07704163 3.09765482 3.08548808 3.11957669 3.10681915
 3.1322968  3.14790583]",1,1.3497075,"86    [3.06702447 3.07704163 3.09765482 3.08548808 3...
Name: forecast, dtype: object",tf_dense
2198,2.6029382,3.5217035,172,"[3.49100304 3.53880501 3.56301308 3.61899137 3.63680649 3.65309381
 3.67998958 3.68519545]",2,1.660672903060913,"[3.6240785, 3.6240785, 3.6240785, 3.6240785, 3.6240785, 3.6240785, 3.6240785, 3.6240785]",Same value
2220,2.8903174,6.198102,418,"[6.38030386 6.38939905 6.40523481 6.37185001 6.26494789 6.13200808
 6.02446699 5.98755646]",2,1.001012921333313,"[6.198102, 6.198102, 6.198102, 6.198102, 6.198102, 6.198102, 6.198102, 6.198102]",Same value
2230,7.3514543,6.4285712,72,"[7.16062307 7.08038616 7.04064894 6.95918655 6.93907928 6.88969707
 6.83506107 6.75146437]",2,3.5780951976776123,"[6.25, 6.25, 6.25, 6.25, 6.25, 6.25, 6.25, 6.25]",Same value
2240,4.968639,4.0007882,203,"[3.85646176 3.9221468  3.9775126  4.00763988 4.03831959 4.0884819
 4.12900019 4.13664865]",2,10.18101692199707,"[3.7642884, 3.7642884, 3.7642884, 3.7642884, 3.7642884, 3.7642884, 3.7642884, 3.7642884]",Same value
2275,5.420903,5.4911838,109,"[4.83302259 4.85581923 4.86314726 4.85873747 4.84871531 4.88279343
 4.86625814 4.88653326]",2,3.969019651412964,"[4.8866501  4.92556813 4.96448615 5.00340418 5.04232221 5.08124023
 5.12015826 5.15907629]",LR
2282,4.4640665,4.5553145,21,"[4.18116236 4.1924696  4.16618872 4.21490574 4.17518139 4.27933836
 4.25695372 4.29809332]",2,8.92620849609375,"[4.5553145  4.62884861 4.70238272 4.77591683 4.84945095 4.92298506
 4.99651917 5.07005328]",LR
2290,9.739402,2.9265742,112,"[2.45696616 2.4722805  2.47555304 2.48990178 2.50062037 2.52265692
 2.51864338 2.53242278]",2,9.162553787231445,"[2.4562321  2.47233574 2.48843939 2.50454303 2.52064667 2.53675031
 2.55285396 2.5689576 ]",LR
4001,0.85975,4.8952913,2569,"[4.92921352 4.92766142 4.92323112 4.91643667 4.91360998 4.91328144
 4.90321827 4.90830755]",1,0.85975,"94    [4.92921352 4.92766142 4.92323112 4.91643667 4...
Name: forecast, dtype: object",tf_dense
4003,3.3674507,3.6642728,3638,"[3.51277137 3.52088428 3.52188134 3.51731682 3.52338409 3.51869059
 3.51698828 3.51944542]",2,4.314166069030762,"[3.488009   3.48697459 3.48594019 3.48490578 3.48387138 3.48283697
 3.48180257 3.48076816]",LR
4005,3.7557092,6.1070185,6914,"[5.74250174 5.75408936 5.76725245 5.7563014  5.74660778 5.73602486
 5.73123074 5.72821712]",2,4.749928951263428,"[5.7634215  5.74108499 5.71874848 5.69641197 5.67407546 5.65173895
 5.62940244 5.60706594]",LR
4007,1.4263644,4.2471848,1833,"[4.15602636 4.15261364 4.14944601 4.1492238  4.13857126 4.14095736
 4.13764763 4.13542938]",1,1.4263644,"97    [4.15602636 4.15261364 4.14944601 4.1492238  4...
Name: forecast, dtype: object",tf_dense
4009,1.3559794,1.95456,548,"[1.98825848 1.98952115 1.98823261 1.98514879 1.99070048 1.98507202
 1.97635043 1.98034501]",1,1.3559794,"98    [1.98825848 1.98952115 1.98823261 1.98514879 1...
Name: forecast, dtype: object",tf_dense
4011,1.9616991,1.3226744,91,"[1.31178641 1.31238472 1.31434917 1.31015086 1.30786216 1.30623698
 1.3008033  1.29657197]",2,2.596041202545166,"[1.2790698, 1.2790698, 1.2790698, 1.2790698, 1.2790698, 1.2790698, 1.2790698, 1.2790698]",Same value
4012,1.219511,2.2875261,404,"[2.34222198 2.34109163 2.31973004 2.30126524 2.30176735 2.2888422
 2.28880835 2.27646542]",1,1.219511,"100    [2.34222198 2.34109163 2.31973004 2.30126524 2...
Name: forecast, dtype: object",tf_dense
4013,0.87120503,14.87283,499989,"[14.43704033 14.44142628 14.49179268 14.53556824 14.60130978 14.59271145
 14.67824364 14.74106503]",1,0.87120503,"101    [14.43704033 14.44142628 14.49179268 14.535568...
Name: forecast, dtype: object",tf_dense
